InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordId,ProductName,RateId,SubscriptionId,PricingPlanId,UsageType,Operation,AvailabilityZone,ReservedInstance,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,Rate,Cost,ResourceId,aws:createdBy,user:Name
12345,12345,12345,LineItem,,Amazon Elastic Compute Cloud,213003131,2286827067,10890459,HeavyUsage:m3.xlarge,RunInstances:0002,,Y,"USD 0.383 hourly fee per Windows (Amazon VPC), m3.xlarge instance",2019-08-01 00:00:00,2019-08-31 23:59:59,744,0.383,284.952,,,
12345,12345,12345,LineItem,,Amazon Elastic Compute Cloud,213158403,1663069801,10958554,HeavyUsage:m4.10xlarge,RunInstances,,Y,"USD 1.4249 hourly fee per Linux/UNIX (Amazon VPC), m4.10xlarge instance",2019-08-01 00:00:00,2019-08-31 23:59:59,744,1.4249,1060.1256,,,
12345,12345,12345,LineItem,,Amazon Elastic Compute Cloud,213032878,1663102864,10907367,HeavyUsage:m4.2xlarge,RunInstances:0002,,Y,"USD 0.653 hourly fee per Windows (Amazon VPC), m4.2xlarge instance",2019-08-01 00:00:00,2019-08-31 23:59:59,1488,0.653,971.664,,,
